Incident Zip,Borough,Complaint Type
11104.0,QUEENS,96
11105.0,QUEENS,120
11106.0,QUEENS,168
11109.0,QUEENS,5
11201.0,BROOKLYN,431
11201.0,Unspecified,1
11203.0,BROOKLYN,119
11204.0,BROOKLYN,110
11205.0,BROOKLYN,141
11206.0,BROOKLYN,161
11207.0,BROOKLYN,226
11208.0,BROOKLYN,190
11209.0,BROOKLYN,251
11210.0,BROOKLYN,89
11211.0,BROOKLYN,236
11212.0,BROOKLYN,196
11213.0,BROOKLYN,141
11214.0,BROOKLYN,250
11215.0,BROOKLYN,269
11216.0,BROOKLYN,172
11217.0,BROOKLYN,260
11218.0,BROOKLYN,168
11219.0,BROOKLYN,144
11220.0,BROOKLYN,327
11220.0,Unspecified,1
11221.0,BROOKLYN,153
11222.0,BROOKLYN,143
11223.0,BROOKLYN,180
11224.0,BROOKLYN,158
11225.0,BROOKLYN,111
11226.0,BROOKLYN,295
11228.0,BROOKLYN,45
11229.0,BROOKLYN,168
11230.0,BROOKLYN,176
11231.0,BROOKLYN,99
11232.0,BROOKLYN,59
11233.0,BROOKLYN,159
11234.0,BROOKLYN,143
11235.0,BROOKLYN,355
11235.0,Unspecified,2
11236.0,BROOKLYN,160
11237.0,BROOKLYN,134
11238.0,BROOKLYN,172
11239.0,BROOKLYN,59
11249.0,BROOKLYN,74
11354.0,QUEENS,341
11355.0,QUEENS,231
11356.0,QUEENS,64
11357.0,QUEENS,46
11358.0,QUEENS,87
11360.0,QUEENS,25
11361.0,QUEENS,83
11362.0,QUEENS,36
11363.0,QUEENS,16
11364.0,QUEENS,72
11365.0,QUEENS,74
11366.0,QUEENS,58
11367.0,QUEENS,118
11368.0,QUEENS,153
11369.0,QUEENS,57
11369.0,Unspecified,4
11370.0,QUEENS,24
11371.0,QUEENS,1
11372.0,QUEENS,392
11373.0,QUEENS,201
11374.0,QUEENS,202
11374.0,Unspecified,1
11375.0,QUEENS,264
11377.0,QUEENS,170
11378.0,QUEENS,70
11379.0,QUEENS,41
11385.0,QUEENS,176
11385.0,Unspecified,1
11411.0,QUEENS,17
11412.0,QUEENS,44
11413.0,QUEENS,57
11414.0,QUEENS,90
11415.0,QUEENS,55
11416.0,QUEENS,52
11417.0,QUEENS,77
11418.0,QUEENS,86
11419.0,QUEENS,150
11420.0,QUEENS,80
11421.0,QUEENS,62
11422.0,QUEENS,36
11423.0,QUEENS,32
11426.0,QUEENS,36
11427.0,QUEENS,31
11428.0,QUEENS,26
11429.0,QUEENS,29
11430.0,BROOKLYN,1
11430.0,QUEENS,52
11430.0,Unspecified,7
11432.0,QUEENS,245
11432.0,Unspecified,1
11433.0,QUEENS,65
11434.0,QUEENS,134
11435.0,QUEENS,162
11435.0,Unspecified,1
11436.0,QUEENS,22
11559.0,QUEENS,1
11581.0,QUEENS,1
11691.0,QUEENS,89
11692.0,QUEENS,29
11693.0,QUEENS,20
11694.0,QUEENS,45
11697.0,QUEENS,5
99999.0,MANHATTAN,1
